OBJECTID,FID_road,FCLASS,URBAN_CODE,ROUNDED_SPEED,Volume,Capacity,VCR,Artificial,MODE_TYPE,MILES,FID_HighwayBridge_3state,HighwayBridgeId,BridgeClass,Tract,Name,Owner,BridgeType,Width,NumSpans,Length,MaxSpanLength,SkewAngle,SeatLength,SeatWidth,YearBuilt,YearRemodeled,PierType,FoundationType,ScourIndex,Traffic,TrafficIndex,Condition,Cost,Latitude,Longitude,Comment
11,172950,3,99999,35,7643.000000000000000,20934.844246031749208,0.365085114089099,0,road,8.445886977602330,19758,ID000429,HWB5 ,16007950100,THOMAS FORK CREEK,State Highway Agency,102,11.0000000,2,18,8,0,,,1964,,,,3,1200,,765,650.038699999999949,42.221066999999998,-111.118739000000005,
12,45039,1,99999,75,4650.000000000000000,24516.802610114198615,0.189665841584158,0,road,9.983452343141559,15806,ID000123,HWB17,16071960100,SAMARIA ROAD GS,State Highway Agency,502,13.0000000,3,34,18,0,,,1975,,,,N,5250,,666,1451.096399999999903,42.087575000000001,-112.218556000000007,
13,45039,1,99999,75,4650.000000000000000,24516.802610114198615,0.189665841584158,0,road,9.983452343141559,15807,ID000124,HWB17,16071960100,SAMARIA ROAD GS,State Highway Agency,502,13.0000000,3,34,18,0,,,1975,,,,N,5250,,666,1451.096399999999903,42.087572000000002,-112.218999999999994,
14,279107,4,99999,65,944.000000000000000,5981.833333333350311,0.157811150427683,0,road,1.624800849425880,16276,ID003020,HWB19,16041970100,BEAR RIVER,State Highway Agency,502,14.0000000,3,74,30,35,,,2006,,,,8,2200,,688,4308.820399999999609,42.133333000000000,-111.913611000000003,
15,279107,4,99999,65,944.000000000000000,5981.833333333350311,0.157811150427683,0,road,1.624800849425880,18686,ID000830,HWB4 ,16041970100,WEST CACHE CANAL,State Highway Agency,319,49.0000000,1,7,7,20,,,1993,,,,8,1700,,NNN,1426.568899999999985,42.146985999999998,-111.910408000000004,
16,279575,4,99999,65,1272.000000000000000,8917.519685039349497,0.142640559811042,0,road,5.293752193601130,16814,ID000452,HWB3 ,16041970100,TWIN LAKES CANAL,State Highway Agency,107,22.0000000,1,8,8,45,,,1958,,,,8,900,,556,616.466599999999971,42.165311000000003,-111.832796999999999,
17,279575,4,99999,65,1272.000000000000000,8917.519685039349497,0.142640559811042,0,road,5.293752193601130,19759,ID000451,HWB5 ,16041970100,BEAR RIVER;RIVERDALE BR,State Highway Agency,102,10.0000000,6,66,11,30,,,1960,,,,3,2000,,665,2166.795599999999922,42.166167000000002,-111.833258000000001,
18,45039,1,99999,75,4650.000000000000000,24516.802610114198615,0.189665841584158,0,road,9.983452343141559,16684,ID000125,HWB3 ,16071960100,FOUR MILE CREEK RD GS,State Highway Agency,107,71.0000000,1,6,6,7,,,1975,,,,N,10500,,667,1492.129300000000057,42.123435999999998,-112.218402999999995,
19,294001,5,99999,55,286.000000000000000,5000.000000000000000,0.057200000000000,0,road,21.975127172344500,19904,ID000464,HWB7 ,16041970100,BEAR RIVER,State Highway Agency,102,9.0000000,3,34,11,24,,,2007,2007,,,3,670,,665,1272.682499999999891,42.192714000000002,-111.778938999999994,
20,45148,1,99999,75,7267.000000000000000,26940.523983315950318,0.269742340739192,0,road,12.693352920569099,16939,ID000723,HWB3 ,16071960100,COUNTY ROAD GS 6,State Highway Agency,107,18.0000000,1,8,8,30,,,1968,,,,N,4200,,666,504.381700000000023,42.057169000000002,-112.891857999999999,Functionally Obsolete
21,45148,1,99999,75,7267.000000000000000,26940.523983315950318,0.269742340739192,0,road,12.693352920569099,16940,ID000724,HWB3 ,16071960100,COUNTY ROAD GS 6,State Highway Agency,107,19.0000000,1,8,8,30,,,1968,,,,N,4200,,666,532.403000000000020,42.057257999999997,-112.890974999999997,Functionally Obsolete
22,45039,1,99999,75,4650.000000000000000,24516.802610114198615,0.189665841584158,0,road,9.983452343141559,15808,ID000126,HWB17,16071960100,TWO MILE RD.GS,State Highway Agency,502,13.0000000,3,37,18,16,,,1975,,,,N,5250,,676,1579.134299999999939,42.163114000000000,-112.220983000000004,
23,45039,1,99999,75,4650.000000000000000,24516.802610114198615,0.189665841584158,0,road,9.983452343141559,15809,ID000127,HWB17,16071960100,TWO MILE RD.GS,State Highway Agency,502,13.0000000,3,37,18,16,,,1975,,,,N,5250,,666,1579.134299999999939,42.163108000000001,-112.221478000000005,
24,294001,5,99999,55,286.000000000000000,5000.000000000000000,0.057200000000000,0,road,21.975127172344500,19015,ID002964,HWB4 ,16041970100,MINK CREEK,State Highway Agency,501,11.0000000,1,16,16,0,,,2015,,,,8,300,,887,732.000400000000013,42.242221999999998,-111.709999999999994,
25,197708,3,99999,65,821.000000000000000,6720.685975609750130,0.122160148975792,0,road,11.192509036375199,16943,ID000735,HWB3 ,16007950200,OVID CREEK,State Highway Agency,104,9.0000000,1,10,9,0,,,1934,,,,3,2000,,666,315.238600000000019,42.283244000000003,-111.398302999999999,
26,197710,3,99999,65,935.000000000000000,6707.500000000000000,0.139396198285501,0,road,2.470516142394090,19038,ID003006,HWB4 ,16007950200,OVID CREEK,State Highway Agency,105,13.0000000,1,22,21,0,,,2014,,,,8,2400,,888,1189.500600000000077,42.288611000000003,-111.393889000000001,
27,45039,1,99999,75,4650.000000000000000,24516.802610114198615,0.189665841584158,0,road,9.983452343141559,16685,ID000128,HWB3 ,16071960100,SH 38;MALAD CITY IC,State Highway Agency,105,13.0000000,1,40,40,20,,,1975,,,,N,4850,,656,1821.378500000000031,42.183114000000003,-112.232489000000001,
28,45040,1,99999,75,4650.000000000000000,24516.802610114198615,0.189665841584158,0,road,0.519995689427693,16685,ID000128,HWB3 ,16071960100,SH 38;MALAD CITY IC,State Highway Agency,105,13.0000000,1,40,40,20,,,1975,,,,N,4850,,656,1821.378500000000031,42.183114000000003,-112.232489000000001,
29,308071,5,99999,60,135.000000000000000,13795.312500000000000,0.009785932721713,0,road,23.230982505348202,16685,ID000128,HWB3 ,16071960100,SH 38;MALAD CITY IC,State Highway Agency,105,13.0000000,1,40,40,20,,,1975,,,,N,4850,,656,1821.378500000000031,42.183114000000003,-112.232489000000001,
30,45039,1,99999,75,4650.000000000000000,24516.802610114198615,0.189665841584158,0,road,9.983452343141559,16686,ID000129,HWB3 ,16071960100,SH 38;MALAD CITY IC,State Highway Agency,105,13.0000000,1,40,40,20,,,1975,,,,N,4850,,656,1821.378500000000031,42.183036000000001,-112.232967000000002,
31,45040,1,99999,75,4650.000000000000000,24516.802610114198615,0.189665841584158,0,road,0.519995689427693,16686,ID000129,HWB3 ,16071960100,SH 38;MALAD CITY IC,State Highway Agency,105,13.0000000,1,40,40,20,,,1975,,,,N,4850,,656,1821.378500000000031,42.183036000000001,-112.232967000000002,
32,308071,5,99999,60,135.000000000000000,13795.312500000000000,0.009785932721713,0,road,23.230982505348202,16686,ID000129,HWB3 ,16071960100,SH 38;MALAD CITY IC,State Highway Agency,105,13.0000000,1,40,40,20,,,1975,,,,N,4850,,656,1821.378500000000031,42.183036000000001,-112.232967000000002,
33,197710,3,99999,65,935.000000000000000,6707.500000000000000,0.139396198285501,0,road,2.470516142394090,15907,ID000736,HWB17,16007950100,BEAR LAKE CANAL,State Highway Agency,502,14.0000000,3,50,16,26,,,1973,,,,8,2400,,666,2298.116500000000087,42.305264000000001,-111.358746999999994,
34,198203,3,99999,65,1240.000000000000000,6747.500000000000000,0.183771767321230,0,road,3.246359254783900,15908,ID000737,HWB17,16007950100,BEAR RIVER,State Highway Agency,502,14.0000000,2,39,19,0,,,1973,,,,5,2700,,676,1792.530899999999974,42.308644000000001,-111.345314000000002,
35,45148,1,99999,75,7267.000000000000000,26940.523983315950318,0.269742340739192,0,road,12.693352920569099,16937,ID000721,HWB3 ,16071960100,DRAIN,State Highway Agency,107,13.0000000,1,8,8,45,,,1968,,,,4,4200,,665,364.275699999999972,42.100800000000000,-112.935917000000003,
36,45148,1,99999,75,7267.000000000000000,26940.523983315950318,0.269742340739192,0,road,12.693352920569099,16938,ID000722,HWB3 ,16071960100,DRAIN,State Highway Agency,107,13.0000000,1,9,9,45,,,1968,,,,4,4200,,665,409.810200000000009,42.100360999999999,-112.935974999999999,
37,198203,3,99999,65,1240.000000000000000,6747.500000000000000,0.183771767321230,0,road,3.246359254783900,15671,ID000738,HWB15,16007950100,UPRR;12TH ST.;MONTPELIER,State Highway Agency,405,11.0000000,10,220,28,21,,,1971,,,,N,3000,,666,11653.594900000000052,42.317489000000002,-111.314383000000007,
38,179673,3,99999,55,320.000000000000000,5000.000000000000000,0.064000000000000,0,road,11.329673160464999,19041,ID003009,HWB4 ,16007950100,MONTPELIER CREEK,State Highway Agency,107,22.0000000,1,6,6,0,,,2003,,,,8,690,,777,549.000300000000038,42.342500000000001,-111.176666999999995,
39,179673,3,99999,55,320.000000000000000,5000.000000000000000,0.064000000000000,0,road,11.329673160464999,19039,ID003007,HWB4 ,16007950100,MONTPELIER CK;LOWER NRWS,State Highway Agency,111,21.0000000,1,10,10,20,,,2008,,,,8,800,,888,873.409499999999980,42.337499999999999,-111.214721999999995,
40,179673,3,99999,55,320.000000000000000,5000.000000000000000,0.064000000000000,0,road,11.329673160464999,19040,ID003008,HWB4 ,16007950100,MONTPELIER CK;UPPER NRWS,State Highway Agency,502,12.0000000,1,21,21,40,,,2008,,,,8,800,,788,1048.091499999999996,42.339444000000000,-111.212221999999997,
41,45148,1,99999,75,7267.000000000000000,26940.523983315950318,0.269742340739192,0,road,12.693352920569099,16935,ID000719,HWB3 ,16071960100,JUNIPER ROAD GS 5,State Highway Agency,107,19.0000000,1,10,10,45,,,1968,,,,N,4200,,666,665.503699999999981,42.109493999999998,-112.945780999999997,Functionally Obsolete
42,45148,1,99999,75,7267.000000000000000,26940.523983315950318,0.269742340739192,0,road,12.693352920569099,16936,ID000720,HWB3 ,16071960100,JUNIPER ROAD GS 5,State Highway Agency,107,18.0000000,1,10,10,45,,,1968,,,,N,4200,,666,630.477200000000039,42.109046999999997,-112.945822000000007,Functionally Obsolete
43,294010,5,99999,55,261.000000000000000,5000.000000000000000,0.052200000000000,0,road,11.765148311873000,16824,ID000465,HWB3 ,16007950200,NORTH CREEK,State Highway Agency,505,12.0000000,1,11,10,10,,,1983,,,,8,800,,766,462.349899999999991,42.316989000000000,-111.443168999999997,
44,44992,1,99999,75,4250.000000000000000,23363.636363636349415,0.181906614785993,0,road,5.758873255300170,15874,ID000466,HWB17,16071960100,I 15;DEEP CR;SH 36 IC,State Highway Agency,502,10.0000000,5,67,14,0,,,1964,,,,N,500,,636,2199.625799999999799,42.234464000000003,-112.230549999999994,Structurally Deficient
45,197513,3,99999,65,550.000000000000000,5468.750000000000000,0.100571428571429,0,road,1.307211677564300,18684,ID000740,HWB4 ,16007950100,THOMAS FORK CREEK,State Highway Agency,502,12.0000000,1,24,23,30,,,1993,,,,8,1100,,788,1197.818800000000010,42.387458000000002,-111.053008000000005,
46,45521,1,99999,75,7250.000000000000000,26924.242424242398556,0.269274057400113,0,road,25.840855969213401,19788,ID000717,HWB5 ,16071960100,JUNIPER ROAD IC,State Highway Agency,102,12.0000000,3,37,12,0,,,1968,,,,N,4200,,666,1457.662499999999909,42.151860999999997,-112.985517000000002,Functionally Obsolete
47,45521,1,99999,75,7250.000000000000000,26924.242424242398556,0.269274057400113,0,road,25.840855969213401,19789,ID000718,HWB5 ,16071960100,JUNIPER ROAD IC,State Highway Agency,102,12.0000000,3,37,12,0,,,1968,,,,N,4200,,666,1457.662499999999909,42.152003000000001,-112.985172000000006,Functionally Obsolete
48,278384,4,99999,65,397.000000000000000,9327.253521126749547,0.042563440470528,0,road,18.717180576263399,16815,ID000453,HWB3 ,16041970100,COTTONWOOD CREEK,State Highway Agency,107,15.0000000,1,8,8,41,,,1971,,,,7,750,,666,420.318100000000015,42.335557999999999,-111.731689000000003,
49,278384,4,99999,65,397.000000000000000,9327.253521126749547,0.042563440470528,0,road,18.717180576263399,19760,ID000454,HWB5 ,16041970100,BEAR RIVER;CLEVELAND BR.,State Highway Agency,102,9.0000000,8,85,10,20,,,1953,,,,5,750,,666,2511.512999999999920,42.346646999999997,-111.713603000000006,
50,45521,1,99999,75,7250.000000000000000,26924.242424242398556,0.269274057400113,0,road,25.840855969213401,16933,ID000715,HWB3 ,16031950100,CO.RD.;GS NO.4,State Highway Agency,107,21.0000000,1,7,7,0,,,1968,,,,N,4200,,666,514.889699999999948,42.174439000000000,-113.005903000000004,Functionally Obsolete
51,45521,1,99999,75,7250.000000000000000,26924.242424242398556,0.269274057400113,0,road,25.840855969213401,16934,ID000716,HWB3 ,16031950100,CO.RD.;GS NO.4,State Highway Agency,107,18.0000000,1,7,7,0,,,1968,,,,N,4200,,665,441.334000000000003,42.174652999999999,-113.005650000000003,Functionally Obsolete
52,44992,1,99999,75,4250.000000000000000,23363.636363636349415,0.181906614785993,0,road,5.758873255300170,15810,ID000130,HWB17,16071960100,COLTON LANE RD.IC,State Highway Agency,502,13.0000000,3,39,13,0,,,1987,1987,,,N,4800,,776,1664.492999999999938,42.303842000000003,-112.209333000000001,
53,44992,1,99999,75,4250.000000000000000,23363.636363636349415,0.181906614785993,0,road,5.758873255300170,15811,ID000131,HWB17,16071960100,COLTON LANE RD.IC,State Highway Agency,502,13.0000000,3,39,13,0,,,1988,1988,,,N,4800,,766,1664.492999999999938,42.303807999999997,-112.209727999999998,
54,45521,1,99999,75,7250.000000000000000,26924.242424242398556,0.269274057400113,0,road,25.840855969213401,16931,ID000713,HWB3 ,16031950100,CO.RD.;GS NO.3,State Highway Agency,107,16.0000000,1,7,7,0,,,1968,,,,N,4200,,666,392.296899999999994,42.203308000000000,-113.036169000000001,Functionally Obsolete
55,45521,1,99999,75,7250.000000000000000,26924.242424242398556,0.269274057400113,0,road,25.840855969213401,16932,ID000714,HWB3 ,16031950100,CO.RD.;GS NO.3,State Highway Agency,107,20.0000000,1,7,7,0,,,1968,,,,N,4200,,776,490.371100000000013,42.203564000000000,-113.036080999999996,Functionally Obsolete
56,278382,4,99999,65,639.000000000000000,8541.188481675400908,0.074813944379162,0,road,8.169642735314730,16373,ID000831,HWB23,16005001900,UPRR;REDROCK OVERPASS,State Highway Agency,602,13.0000000,3,63,23,44,,,1995,,,,N,1500,,777,2868.671200000000226,42.352761000000001,-112.046521999999996,
57,278382,4,99999,65,639.000000000000000,8541.188481675400908,0.074813944379162,0,road,8.169642735314730,16964,ID000834,HWB3 ,16005001900,TYHEE WASTEWAY CANAL,State Highway Agency,104,10.0000000,1,10,9,40,,,1949,1949,,,8,4300,,666,350.265100000000018,42.352589000000002,-112.045952999999997,
58,44737,1,99999,75,4207.000000000000000,23316.634234234250471,0.180429128738621,0,road,2.791922046140350,15812,ID000132,HWB17,16071960100,BISSELL LANE RD.GS,State Highway Agency,502,13.0000000,3,38,12,0,,,1987,1987,,,N,4800,,776,1621.813699999999926,42.328913999999997,-112.221297000000007,
59,44737,1,99999,75,4207.000000000000000,23316.634234234250471,0.180429128738621,0,road,2.791922046140350,15813,ID000133,HWB17,16071960100,BISSELL LANE RD.GS,State Highway Agency,502,13.0000000,3,38,12,0,,,1988,1988,,,N,4800,,676,1621.813699999999926,42.328921999999999,-112.221586000000002,
60,278385,4,99999,65,377.000000000000000,9567.089552238800024,0.039405923603148,0,road,1.822082662729320,16816,ID000455,HWB3 ,16041970100,TROUT CREEK,State Highway Agency,107,15.0000000,1,7,7,0,,,1957,,,,8,750,,555,367.778399999999976,42.407975000000000,-111.725475000000003,
61,44737,1,99999,75,4207.000000000000000,23316.634234234250471,0.180429128738621,0,road,2.791922046140350,15693,ID001538,HWB15,16071960100,I 15 NB-SB;SUMMIT RD.GS,State Highway Agency,402,10.0000000,4,93,38,0,,,1971,,,,N,150,,747,4478.447600000000421,42.343541999999999,-112.226797000000005,Structurally Deficient
62,45521,1,99999,75,7250.000000000000000,26924.242424242398556,0.269274057400113,0,road,25.840855969213401,16038,ID001640,HWB17,16031950100,I 84 EB-WB;SWEETZER IC,State Highway Agency,502,10.0000000,5,72,15,0,,,1968,,,,N,30,,676,2363.777000000000044,42.240921999999998,-113.088832999999994,
63,176268,3,99999,45,4144.000000000000000,34644.446069469850045,0.119615132298272,0,road,21.509419180925299,19007,ID002951,HWB4 ,16007950200,GEORGETOWN CREEK,State Highway Agency,107,18.0000000,1,6,6,6,,,2016,,,,8,2900,,999,449.182099999999991,42.478332999999999,-111.371667000000002,
64,44986,1,99999,75,4200.000000000000000,23312.274368231050175,0.180162601626016,0,road,6.284210006555070,15814,ID000134,HWB17,16005001900,MARSH VALLEY ROAD,State Highway Agency,502,13.0000000,3,39,13,0,,,1987,1987,,,N,4800,,776,1664.492999999999938,42.375014000000000,-112.209714000000005,Functionally Obsolete
65,44986,1,99999,75,4200.000000000000000,23312.274368231050175,0.180162601626016,0,road,6.284210006555070,15815,ID000135,HWB17,16005001900,MARSH VALLEY ROAD,State Highway Agency,502,13.0000000,3,39,13,0,,,1988,1988,,,N,4800,,776,1664.492999999999938,42.375114000000004,-112.210077999999996,Functionally Obsolete
66,45521,1,99999,75,7250.000000000000000,26924.242424242398556,0.269274057400113,0,road,25.840855969213401,16929,ID000711,HWB3 ,16031950100,CO.RD.;GS NO.2,State Highway Agency,107,53.0000000,1,8,7,0,,,1973,1973,,,N,8400,,666,1485.124000000000024,42.267242000000003,-113.143831000000006,Functionally Obsolete
67,44986,1,99999,75,4200.000000000000000,23312.274368231050175,0.180162601626016,0,road,6.284210006555070,15816,ID000136,HWB17,16005001900,WOODLAND RD.GS,State Highway Agency,502,13.0000000,3,42,15,15,,,1987,1987,,,N,4800,,766,1792.530899999999974,42.411053000000003,-112.191883000000004,Functionally Obsolete
68,44986,1,99999,75,4200.000000000000000,23312.274368231050175,0.180162601626016,0,road,6.284210006555070,15817,ID000137,HWB17,16005001900,WOODLAND RD.GS,State Highway Agency,502,13.0000000,3,42,15,15,,,1988,1988,,,N,4800,,666,1792.530899999999974,42.411071999999997,-112.192158000000006,Functionally Obsolete
69,44986,1,99999,75,4200.000000000000000,23312.274368231050175,0.180162601626016,0,road,6.284210006555070,16687,ID000138,HWB3 ,16005001900,MARSH CREEK,State Highway Agency,102,35.0000000,1,13,13,0,,,1971,,,,8,9600,,676,1593.706200000000081,42.424478000000001,-112.185236000000003,
70,45521,1,99999,75,7250.000000000000000,26924.242424242398556,0.269274057400113,0,road,25.840855969213401,16928,ID000710,HWB3 ,16031950100,CO.RD.;GS NO.1,State Highway Agency,107,53.0000000,1,7,7,0,,,1973,1973,,,N,8400,,666,1299.483500000000049,42.294642000000003,-113.173227999999995,Functionally Obsolete
71,44986,1,99999,75,4200.000000000000000,23312.274368231050175,0.180162601626016,0,road,6.284210006555070,15818,ID000139,HWB17,16005001900,SH 40;DOWNEY IC,State Highway Agency,502,13.0000000,3,49,16,20,,,1987,1987,,,N,4800,,666,2091.286000000000058,42.430641999999999,-112.182111000000006,
72,44986,1,99999,75,4200.000000000000000,23312.274368231050175,0.180162601626016,0,road,6.284210006555070,15819,ID000140,HWB17,16005001900,SH 40;DOWNEY IC,State Highway Agency,502,13.0000000,3,49,16,20,,,1988,1988,,,N,4800,,666,2091.286000000000058,42.430653000000000,-112.182511000000005,
73,45521,1,99999,75,7250.000000000000000,26924.242424242398556,0.269274057400113,0,road,25.840855969213401,16037,ID001639,HWB17,16031950100,I 84 EB-WB;SUBLETT IC,State Highway Agency,502,10.0000000,5,95,21,45,,,1981,1981,,,N,400,,665,3118.872400000000198,42.327758000000003,-113.213082999999997,
74,44679,1,99999,75,4028.000000000000000,27949.141242937850620,0.144118918180278,0,road,4.228364141333030,15692,ID001336,HWB15,16005001900,I 15 NB-SB;BOWMAN RD.GS,State Highway Agency,402,10.0000000,4,84,38,0,,,1971,,,,N,100,,667,4045.049500000000080,42.474243999999999,-112.169749999999993,
75,44676,1,99999,75,4000.000000000000000,27886.363636363650585,0.143439282803586,0,road,0.357373387849933,15674,ID000832,HWB15,16005001900,I 15 NB-SB;VIRGINIA IC,State Highway Agency,402,14.0000000,4,119,41,44,,,1971,,,,N,1000,,666,8022.681499999999687,42.501756000000000,-112.169332999999995,
76,44969,1,99999,75,4000.000000000000000,27886.363636363650585,0.143439282803586,0,road,0.412144116396275,15674,ID000832,HWB15,16005001900,I 15 NB-SB;VIRGINIA IC,State Highway Agency,402,14.0000000,4,119,41,44,,,1971,,,,N,1000,,666,8022.681499999999687,42.501756000000000,-112.169332999999995,
77,278922,4,99999,65,450.000000000000000,7596.875000000000000,0.059234882764295,0,road,0.196439528120813,15674,ID000832,HWB15,16005001900,I 15 NB-SB;VIRGINIA IC,State Highway Agency,402,14.0000000,4,119,41,44,,,1971,,,,N,1000,,666,8022.681499999999687,42.501756000000000,-112.169332999999995,
78,279572,4,99999,65,1300.000000000000000,13530.000000000000000,0.096082779009608,0,road,4.983523101818470,19173,ID003273,HWB4 ,16029960100,BENCH CANAL,County Highway Agency,302,9.0000000,1,13,12,0,,,2012,,,,8,30,,666,486.613900000000001,42.583055999999999,-111.729167000000004,
79,279572,4,99999,65,1300.000000000000000,13530.000000000000000,0.096082779009608,0,road,4.983523101818470,15873,ID000456,HWB17,16029960100,BEAR RIVER;GRACE BRIDGE,State Highway Agency,502,16.0000000,7,165,23,0,,,1974,,,,8,2000,,766,8667.182300000000396,42.585903000000002,-111.730132999999995,
80,279572,4,99999,65,1300.000000000000000,13530.000000000000000,0.096082779009608,0,road,4.983523101818470,16817,ID000457,HWB3 ,16029960100,NORTH EXTENSION CANAL,State Highway Agency,505,20.0000000,1,11,10,25,,,1978,,,,5,2000,,656,770.583200000000033,42.595747000000003,-111.730022000000005,
81,45054,1,99999,75,4800.000000000000000,24075.829383886248252,0.199370078740158,0,road,0.570169411111166,15820,ID000141,HWB17,16005001900,STC 1755;ARIMO RD.IC,State Highway Agency,502,12.0000000,3,41,13,30,,,1964,,,,N,5250,,556,1615.247599999999920,42.567008000000001,-112.179136000000000,Functionally Obsolete
82,45054,1,99999,75,4800.000000000000000,24075.829383886248252,0.199370078740158,0,road,0.570169411111166,15821,ID000142,HWB17,16005001900,STC 1755;ARIMO RD.IC,State Highway Agency,502,12.0000000,3,41,13,30,,,1964,,,,N,5250,,655,1615.247599999999920,42.567096999999997,-112.179558000000000,Functionally Obsolete
83,190360,3,99999,55,4350.000000000000000,6136.363636363649675,0.708888888888887,0,road,7.551134410503160,16804,ID000428,HWB3 ,16029960200,UPRR; SODA SPRINGS OP,State Highway Agency,502,14.0000000,1,35,34,16,,,1988,,,,N,2900,,686,1716.298999999999978,42.647544000000003,-111.575374999999994,
84,45520,1,99999,75,7250.000000000000000,21136.363636363650585,0.343010752688171,0,road,9.192303865810430,16036,ID001638,HWB17,16031950100,I 84 EB-WB;IDAHOME RD GS,State Highway Agency,502,10.0000000,5,95,21,45,,,1967,,,,N,300,,776,3118.872400000000198,42.415517000000001,-113.319822000000002,
85,288438,5,99999,35,2350.000000000000000,21309.193548387098417,0.110281038776236,0,road,0.298812987820274,18118,ID002962,HWB3 ,16029960200,UPRR;SODA'S 3RD E.ST OP,State Highway Agency,502,24.0000000,1,24,24,9,,,1978,,,,N,4700,,677,2017.527000000000044,42.656944000000003,-111.594722000000004,
86,186374,3,99999,55,2350.000000000000000,19390.976331360951008,0.121190390821083,0,road,4.091945622228290,16803,ID000427,HWB3 ,16005001900,DEER CROSSING,State Highway Agency,502,20.0000000,1,23,23,0,,,1976,,,,N,3500,,567,1611.219499999999925,42.619064000000002,-111.966536000000005,
87,186374,3,99999,55,2350.000000000000000,19390.976331360951008,0.121190390821083,0,road,4.091945622228290,16801,ID000425,HWB3 ,16005001900,DEER CROSSING,State Highway Agency,502,16.0000000,1,23,23,0,,,1977,,,,N,3500,,776,1288.975599999999986,42.619067000000001,-111.985397000000006,
88,45520,1,99999,75,7250.000000000000000,21136.363636363650585,0.343010752688171,0,road,9.192303865810430,16926,ID000708,HWB3 ,16031950100,RAFT RIVER,State Highway Agency,502,13.0000000,1,16,15,0,,,1973,,,,3,4350,,766,728.551399999999944,42.436672000000002,-113.344646999999995,
