OBJECTID,HighwayBridgeId,BridgeClass,Tract,Name,Owner,BridgeType,Width,NumSpans,Length,MaxSpanLength,SkewAngle,SeatLength,SeatWidth,YearBuilt,YearRemodeled,PierType,FoundationType,ScourIndex,Traffic,TrafficIndex,Condition,Cost,Latitude,Longitude,Comment
33,OR000090,HWB10,41067033101,GALES CR,County Highway Agency,201,11.0000000,5,29,6,0,,,1949,,,,5,6339,,666,817.032299999999964,45.510793999999997,-123.115572000000000,Functionally Obsolete
34,OR000092,HWB10,41043030700,LAKE CREEK,State Highway Agency,204,10.0000000,2,21,11,0,,,1936,1936,,,8,2800,,666,537.858200000000011,44.526944000000000,-123.110111000000003,Functionally Obsolete
35,OR000093,HWB10,41053020400,S. YAMHILL RIVER,State Highway Agency,204,11.0000000,5,83,21,0,,,1946,,,,3,15400,,656,2338.402700000000095,45.061331000000003,-123.557500000000005,Functionally Obsolete
36,OR000094,HWB10,41011001000,FOURMILE CREEK,State Highway Agency,204,14.0000000,3,24,9,0,,,1966,1966,,,3,4000,,766,860.573200000000043,43.095447000000000,-124.415071999999995,
37,OR000099,HWB10,41019160000,LOWER LOOKINGGLASS CRK,State Highway Agency,204,9.0000000,3,56,21,0,,,1949,,,,3,8000,,455,1290.859699999999975,43.117699999999999,-123.428764000000001,Structurally Deficient
38,OR000104,HWB10,41031960100,HAY CREEK,County Highway Agency,204,7.0000000,2,23,12,20,,,1923,,,,4,1532,,656,412.358000000000004,44.756089000000003,-120.968461000000005,Functionally Obsolete
39,OR000105,HWB10,41031960100,TROUT CREEK,State Highway Agency,202,10.0000000,5,57,15,30,,,1965,1965,,,3,3700,,566,1459.900900000000092,44.812078000000000,-120.932374999999993,
40,OR000106,HWB10,41053020500,BASKETT SLOUGH,State Highway Agency,204,14.0000000,2,13,6,0,,,1960,1960,,,8,11500,,767,466.143799999999999,44.950721999999999,-123.228525000000005,
41,OR000110,HWB10,41003010200,MARYS RIVER & WPRR,State Highway Agency,204,10.0000000,6,90,21,33,,,1955,,,,5,6000,,655,2305.106699999999819,44.596378000000001,-123.520683000000005,
42,OR000120,HWB10,41065970800,EIGHTMILE CREEK,County Highway Agency,204,7.0000000,2,16,8,40,,,1922,,,,3,53,,765,286.857700000000023,45.559519000000002,-121.058969000000005,
43,OR000127,HWB10,41007951200,GNAT CREEK,State Highway Agency,204,9.0000000,4,50,15,0,,,1929,,,,3,5300,,666,1152.553300000000036,46.169849999999997,-123.487261000000004,Functionally Obsolete
44,OR000128,HWB10,41041950303,SCHOONER CREEK,State Highway Agency,204,11.0000000,6,87,21,0,,,1945,,,,3,13200,,555,2451.096799999999803,44.998272000000000,-123.994933000000003,Functionally Obsolete
45,OR000129,HWB10,41041950601,DRIFT CREEK,State Highway Agency,204,11.0000000,5,64,21,0,,,1945,,,,3,12100,,765,1803.105700000000070,44.912692000000000,-124.004949999999994,Functionally Obsolete
46,OR000137,HWB10,41039000702,SILTCOOS RIVER,State Highway Agency,204,11.0000000,3,52,21,0,,,1930,,,,5,4400,,665,1465.023400000000038,43.962685999999998,-124.108249999999998,Functionally Obsolete
47,OR000143,HWB10,41065970800,BUTLER CREEK,State Highway Agency,202,15.0000000,3,26,16,33,,,1962,,,,U,1100,,766,998.879599999999982,45.260061000000000,-121.190419000000006,
48,OR000155,HWB10,41065970800,PINE CREEK,State Highway Agency,201,14.0000000,3,39,16,30,,,1963,,,,5,1300,,666,1398.431399999999940,45.441682999999998,-121.129711000000000,
49,OR000157,HWB10,41033361600,ELK CREEK,State Highway Agency,204,11.0000000,3,42,17,30,,,1959,,,,5,3500,,666,1183.288099999999986,42.016593999999998,-123.729256000000007,
50,OR000158,HWB10,41003010300,MARYS RIVER,State Highway Agency,204,11.0000000,3,52,20,23,,,1954,,,,3,11400,,666,1465.023400000000038,44.547992000000001,-123.399232999999995,Functionally Obsolete
51,OR000165,HWB10,41011001000,CHINA CREEK,State Highway Agency,204,11.0000000,2,20,10,20,,,1931,,,,5,2900,,766,563.470500000000015,43.064328000000003,-124.415071999999995,Functionally Obsolete
52,OR000166,HWB10,41033361600,DWIGHT CREEK,State Highway Agency,204,12.0000000,3,23,8,35,,,1959,1959,,,5,3500,,765,706.899400000000014,42.007758000000003,-123.727056000000005,
53,OR000170,HWB10,41043030800,MT STATES PWR CO CANAL,State Highway Agency,202,11.0000000,3,28,9,45,,,1950,,,,5,9300,,665,788.858699999999999,44.558613999999999,-122.911703000000003,Functionally Obsolete
54,OR000173,HWB10,41041951700,CAPE PERPETUA,State Highway Agency,204,8.0000000,2,23,12,0,,,1931,,,,N,2600,,667,471.266300000000001,44.293385999999998,-124.110819000000006,Functionally Obsolete
55,OR000183,HWB10,41041950100,SLICK ROCK CREEK,State Highway Agency,202,14.0000000,5,56,18,33,,,1964,1964,,,3,6800,,766,2008.003999999999905,45.011302999999998,-123.879953000000000,
56,OR000195,HWB10,41007951300,NEAWANNA CREEK,State Highway Agency,204,12.0000000,4,64,16,0,,,1930,,,,4,16500,,655,1967.024400000000014,46.095139000000003,-123.917147000000000,Functionally Obsolete
57,OR000198,HWB10,41039000100,BLUE RIVER BRIDGE,State Highway Agency,205,16.0000000,2,76,38,28,,,1972,,,,8,2800,,567,3114.455300000000079,44.154031000000003,-122.343022000000005,
58,OR000199,HWB10,41039000100,GATE CREEK,State Highway Agency,202,18.0000000,4,56,18,26,,,1988,1988,,,3,3800,,666,2581.719500000000153,44.146239000000001,-122.571239000000006,
59,OR000200,HWB10,41043030402,WILEY CREEK,State Highway Agency,205,20.0000000,3,76,31,0,,,1964,,,,5,6300,,666,3893.069100000000162,44.406866999999998,-122.674257999999995,
60,OR000202,HWB10,41045970600,BULLY CREEK,County Highway Agency,201,9.0000000,3,37,15,5,,,1972,,,,3,229,,777,852.889499999999998,43.939188999999999,-117.324483000000001,
61,OR000207,HWB10,41071030502,AGENCY CREEK,State Highway Agency,204,10.0000000,3,25,14,0,,,1929,,,,3,2100,,666,640.307400000000030,45.080100000000002,-123.615356000000006,Functionally Obsolete
62,OR000213,HWB10,41067031907,TUALATIN RIVER,State Highway Agency,203,11.0000000,7,141,30,0,,,1955,,,,5,30500,,566,3972.467200000000048,45.394067000000000,-122.799294000000003,Functionally Obsolete
63,OR000216,HWB10,41035971300,USRS CANAL,State Highway Agency,202,27.0000000,3,27,12,0,,,1930,,,,5,17800,,677,1867.136400000000094,42.206482999999999,-121.737352999999999,
64,OR000218,HWB10,41041951600,BIG CREEK,State Highway Agency,204,12.0000000,3,37,15,0,,,1978,1978,,,5,5100,,666,1137.185999999999922,44.370685999999999,-124.089961000000002,
65,OR000224,HWB10,41069960100,ROCK CREEK,State Highway Agency,202,8.0000000,3,46,18,45,,,1930,,,,5,680,,667,942.532500000000027,44.517538999999999,-119.671903000000000,
66,OR000225,HWB10,41007951300,NECANICUM RIVER,State Highway Agency,204,9.0000000,3,52,21,0,,,1930,,,,3,11900,,655,1198.655500000000075,46.134061000000003,-123.928222000000005,Functionally Obsolete
67,OR000227,HWB10,41039000708,SUTTON CREEK,State Highway Agency,204,17.0000000,3,34,13,0,,,1988,1988,,,3,7000,,666,1480.390699999999924,44.234661000000003,-124.109892000000002,
68,OR000228,HWB10,41057960300,WILSON RIVER SLOUGH,State Highway Agency,204,11.0000000,3,37,14,0,,,1931,,,,5,16900,,666,1042.420499999999947,45.546978000000003,-123.906011000000007,Functionally Obsolete
69,OR000230,HWB10,41057960400,HOQUARTEN SLOUGH,State Highway Agency,204,15.0000000,3,35,14,8,,,1931,,,,3,18500,,666,1344.645600000000059,45.470064000000001,-123.844064000000003,Functionally Obsolete
70,OR000231,HWB10,41047002700,MILL CREEK,County Highway Agency,204,8.0000000,2,19,9,20,,,1930,,,,3,3536,,675,389.306899999999985,44.838757999999999,-122.908057999999997,Functionally Obsolete
71,OR000232,HWB10,41043030300,DOBBIN CREEK,State Highway Agency,204,12.0000000,3,31,12,0,,,1983,1983,,,8,760,,665,952.777399999999943,44.397238999999999,-122.480292000000006,
72,OR000233,HWB10,41043030300,WOLF CREEK,State Highway Agency,204,11.0000000,3,24,12,0,,,1983,1983,,,5,760,,766,676.164599999999950,44.396121999999998,-122.463508000000004,
73,OR000235,HWB10,41039000100,EUGENE WATER BOARD CANAL,State Highway Agency,202,10.0000000,3,46,18,30,,,1930,,,,5,7500,,666,1178.165600000000040,44.069032999999997,-122.802819000000000,Functionally Obsolete
74,OR000237,HWB10,41045970700,OWYHEE CANAL,County Highway Agency,204,9.0000000,3,18,12,10,,,1938,,,,7,493,,777,414.919199999999989,43.794592000000002,-117.076267000000001,
75,OR000240,HWB10,41067032103,ROCK CREEK (ONION FLAT),State Highway Agency,204,13.0000000,3,37,14,0,,,1931,,,,5,38200,,666,1231.951499999999896,45.382072000000001,-122.825067000000004,
76,OR000241,HWB10,41067032103,ROCK CREEK (ONION FLAT),State Highway Agency,204,12.0000000,3,37,15,0,,,1955,,,,5,38200,,666,1137.185999999999922,45.381594000000000,-122.826830999999999,
77,OR000242,HWB10,41035971800,LINK RIVER,State Highway Agency,202,16.0000000,4,61,15,0,,,1931,,,,5,16400,,665,2499.760099999999966,42.219064000000003,-121.789171999999994,Functionally Obsolete
78,OR000243,HWB10,41003010400,LONG TOM RIVER,State Highway Agency,204,12.0000000,4,70,21,22,,,1954,,,,3,5100,,665,2151.432899999999790,44.312894000000000,-123.295957999999999,
79,OR000244,HWB10,41019010000,TAHKENITCH CREEK,State Highway Agency,204,11.0000000,5,62,14,45,,,1929,,,,5,4400,,766,1746.758599999999888,43.841921999999997,-124.148786000000001,Functionally Obsolete
80,OR000245,HWB10,41053020400,S. YAMHILL RIVER,State Highway Agency,204,13.0000000,3,37,19,0,,,1981,1981,,,5,16200,,677,1231.951499999999896,45.058092000000002,-123.601864000000006,
81,OR000258,HWB10,41019020000,MILL CREEK,State Highway Agency,204,9.0000000,3,61,23,0,,,1952,,,,7,3700,,766,1406.115099999999984,43.654682999999999,-123.875714000000002,Functionally Obsolete
82,OR000261,HWB10,41043030300,SODA FORK,State Highway Agency,204,11.0000000,3,47,18,0,,,1936,,,,5,750,,666,1324.155700000000024,44.405892000000001,-122.281411000000006,
83,OR000262,HWB10,41051004300,MCCARTY CREEK,State Highway Agency,201,27.0000000,3,40,16,0,,,1968,,,,8,26300,,676,2766.128000000000156,45.596128000000000,-122.783902999999995,
84,OR000267,HWB10,41055950100,FULTON CANYON,State Highway Agency,201,13.0000000,3,35,12,0,,,1964,,,,5,13000,,767,1165.359500000000025,45.647067000000000,-120.882322000000002,
85,OR000287,HWB10,41057960400,JORDAN CREEK,State Highway Agency,204,11.0000000,4,44,16,0,,,1983,1983,,,5,4800,,667,1239.635199999999941,45.547186000000004,-123.602746999999994,
86,OR000288,HWB10,41057960300,WILSON RIVER 3RD XING,State Highway Agency,204,11.0000000,4,47,18,16,,,1957,,,,5,5600,,665,1324.155700000000024,45.589517000000001,-123.535821999999996,Functionally Obsolete
87,OR000289,HWB10,41057960300,WILSON RIVER 4TH XING,State Highway Agency,204,11.0000000,3,56,21,18,,,1947,,,,8,5600,,666,1577.717499999999973,45.607196999999999,-123.466575000000006,Functionally Obsolete
88,OR000299,HWB10,41005021200,KELLOGG LAKE OUTLET,State Highway Agency,201,30.0000000,2,8,8,0,,,1934,,,,8,25500,,666,614.695100000000025,45.441749999999999,-122.641897000000000,
89,OR000300,HWB10,41011000400,CBRL,State Highway Agency,204,18.0000000,3,49,19,44,,,1935,,,,N,13900,,566,2259.004600000000210,43.415897000000001,-124.224074999999999,Functionally Obsolete
90,OR000301,HWB10,41057960100,HALF VIADUCT,State Highway Agency,204,7.0000000,25,114,5,0,,,1940,,,,N,4300,,666,2043.861300000000028,45.776336000000001,-123.947141999999999,
91,OR000302,HWB10,41057960100,HALF VIADUCT,State Highway Agency,204,7.0000000,4,18,5,0,,,1940,,,,N,4300,,777,322.714900000000000,45.776336000000001,-123.947141999999999,
92,OR000303,HWB10,41057960100,HALF VIADUCT,State Highway Agency,204,7.0000000,6,27,5,0,,,1940,,,,N,4300,,777,484.072400000000016,45.777847000000001,-123.950467000000003,
93,OR000304,HWB10,41057960100,HALF VIADUCT,State Highway Agency,204,7.0000000,5,23,5,0,,,1940,,,,N,4300,,777,412.358000000000004,45.777847000000001,-123.950467000000003,
94,OR000305,HWB10,41057960100,HALF VIADUCT,State Highway Agency,204,9.0000000,8,37,5,0,,,1940,,,,N,4300,,777,852.889499999999998,45.774047000000003,-123.944367000000000,
95,OR000306,HWB10,41019160000,S. UMPQUA OFLOW,State Highway Agency,201,30.0000000,3,34,13,31,,,1976,,,,5,19600,,666,2612.454200000000128,43.129319000000002,-123.407668999999999,
96,OR000307,HWB10,41031940000,SHITIKE CREEK,State Highway Agency,201,14.0000000,3,38,15,28,,,1966,,,,5,7700,,666,1362.574200000000019,44.763764000000002,-121.245532999999995,
97,OR000308,HWB10,41051001702,UPRR AND LRT,State Highway Agency,201,36.0000000,6,35,9,26,,,1954,1954,,,N,25400,,766,3227.149399999999787,45.533591999999999,-122.578967000000006,
98,OR000328,HWB10,41001950100,N FK BURNT RIVER,County Highway Agency,204,9.0000000,3,32,21,17,,,1962,,,,U,107,,677,737.634099999999989,44.588116999999997,-118.235611000000006,
99,OR000332,HWB10,41001950300,BURNT R,County Highway Agency,201,9.0000000,3,38,15,33,,,1962,,,,3,94,,666,875.940500000000043,44.575800000000001,-117.464196999999999,
100,OR000339,HWB10,41001950600,PINE CREEK,County Highway Agency,201,10.0000000,3,28,11,35,,,1966,,,,3,61,,666,717.144300000000044,44.905894000000004,-117.133696999999998,
101,OR000350,HWB10,41051006602,SW MULTNOMAH BLVD,State Highway Agency,204,18.0000000,3,56,21,47,,,1935,,,,N,22600,,666,2581.719500000000153,45.465010999999997,-122.698856000000006,Functionally Obsolete
102,OR000362,HWB10,41051010500,TANNER CREEK,State Highway Agency,202,14.0000000,6,130,26,0,,,1950,,,,8,29600,,755,4661.438000000000102,45.609133000000000,-122.029771999999994,
103,OR000363,HWB10,41005020600,TANNER CREEK,State Highway Agency,205,12.0000000,6,134,26,0,,,1962,,,,5,29600,,766,4118.457300000000032,45.350717000000003,-122.629846999999998,Functionally Obsolete
104,OR000370,HWB10,41051001102,GRAND AVE,State Highway Agency,204,7.0000000,27,316,14,0,,,1955,1955,,,N,46300,,666,5665.439999999999600,45.507972000000002,-122.661766999999998,
105,OR000373,HWB10,41005022107,MT SCOTT CREEK & UPRR,State Highway Agency,204,24.0000000,4,64,23,31,,,1961,1961,,,8,36400,,676,3934.048800000000028,45.426253000000003,-122.577781000000002,Functionally Obsolete
106,OR000374,HWB10,41039004300,CBRL,State Highway Agency,204,20.0000000,5,61,19,35,,,1954,1954,,,N,18600,,666,3124.700200000000223,44.060369000000001,-123.133724999999998,
107,OR000385,HWB10,41051010500,MOFFETT CREEK,State Highway Agency,202,12.0000000,5,79,21,0,,,1950,,,,5,29600,,566,2428.045700000000124,45.601436000000000,-122.045133000000007,
108,OR000389,HWB10,41065970800,CLEAR CREEK,State Highway Agency,202,11.0000000,2,19,9,0,,,1932,,,,3,4200,,666,535.297000000000025,45.150294000000002,-121.638302999999993,
109,OR000395,HWB10,41069960100,MULE SHOE CREEK,State Highway Agency,202,9.0000000,3,18,12,0,,,1939,,,,8,320,,667,414.919199999999989,44.799388999999998,-119.994061000000002,
110,OR000403,HWB10,41057960100,SHORT SAND BEACH CREEK,State Highway Agency,204,11.0000000,3,37,14,0,,,1937,,,,5,4300,,666,1042.420499999999947,45.779102999999999,-123.952961000000002,Functionally Obsolete
111,OR000409,HWB10,41067033400,W FK DAIRY CK,State Highway Agency,204,13.0000000,4,27,11,0,,,1986,1986,,,3,9500,,766,898.991599999999949,45.639819000000003,-123.121075000000005,Functionally Obsolete
112,OR000410,HWB10,41067033400,HWY 102 DAVIES/PTB,State Highway Agency,204,13.0000000,9,157,23,60,,,1941,,,,N,9500,,766,5227.469699999999648,45.644750000000002,-123.134749999999997,Functionally Obsolete
113,OR000414,HWB10,41067032700,PNWR & VADIS,State Highway Agency,204,12.0000000,8,110,17,0,,,1946,,,,N,74400,,666,3380.823100000000068,45.600375000000000,-123.022653000000005,Functionally Obsolete
114,OR000417,HWB10,41015950200,BRUSH CREEK,State Highway Agency,204,11.0000000,3,46,18,0,,,1955,,,,5,2600,,766,1295.982199999999921,42.684378000000002,-124.422250000000005,
115,OR000418,HWB10,41015950100,BEAR TRAP CREEK,State Highway Agency,204,11.0000000,3,24,15,0,,,1955,,,,3,2600,,767,676.164599999999950,42.723083000000003,-124.466222000000002,
116,OR000428,HWB10,41067033500,GALES CR 2ND XING,State Highway Agency,204,11.0000000,4,53,18,63,,,1956,,,,5,5200,,666,1493.196899999999914,45.651274999999998,-123.280203000000000,Functionally Obsolete
117,OR000430,HWB10,41023960100,INDIAN CREEK,State Highway Agency,202,9.0000000,3,18,6,0,,,1939,,,,3,1600,,766,414.919199999999989,44.442467000000001,-118.799674999999993,
118,OR000431,HWB10,41023960100,JOHN DAY R(PRAIRIE CITY),State Highway Agency,202,9.0000000,5,42,12,45,,,1939,,,,3,1600,,666,968.144800000000032,44.443393999999998,-118.797297000000000,
119,OR000433,HWB10,41027950300,UPRR & FRONTAGE RD,State Highway Agency,205,15.0000000,6,162,27,0,,,1974,,,,N,10400,,667,6223.788099999999758,45.712941999999998,-121.530327999999997,Functionally Obsolete
120,OR000437,HWB10,41011000700,COALBANK SLOUGH,State Highway Agency,201,27.0000000,6,110,21,0,,,1987,,,,4,15100,,666,7606.852100000000064,43.356032999999996,-124.209553000000000,
121,OR000441,HWB10,41047010400,ABIQUA CREEK,County Highway Agency,204,9.0000000,3,34,13,13,,,1954,,,,2,1983,,772,783.736300000000028,45.034824999999998,-122.758308000000000,Structurally Deficient
122,OR000443,HWB10,41043020500,COX CREEK,State Highway Agency,203,23.0000000,3,31,17,0,,,1964,1964,,,3,19600,,777,1826.156700000000001,44.638796999999997,-123.070175000000006,Functionally Obsolete
123,OR000447,HWB10,41067030700,PNWR,State Highway Agency,204,19.0000000,7,104,18,19,,,1940,,,,N,39100,,666,5060.989800000000287,45.431311000000001,-122.771556000000004,Functionally Obsolete
124,OR000448,HWB10,41067030801,FANNO CREEK,State Highway Agency,204,20.0000000,3,38,15,0,,,1940,,,,5,39100,,666,1946.534499999999980,45.429707999999998,-122.774236000000002,
125,OR000449,HWB10,41059951400,E FORK BIRCH CREEK,State Highway Agency,201,20.0000000,3,17,6,13,,,1940,,,,3,2600,,776,870.818099999999959,45.483438999999997,-118.833963999999995,
126,OR000451,HWB10,41007951100,NECANICUM RIVER,State Highway Agency,204,11.0000000,4,55,15,0,,,1939,,,,7,9500,,766,1549.543899999999894,45.902144000000000,-123.859339000000006,Functionally Obsolete
127,OR000452,HWB10,41057960300,WILSON RIVER 5TH XING,State Highway Agency,204,11.0000000,3,51,21,0,,,1957,,,,8,5600,,676,1436.849799999999959,45.607142000000003,-123.462242000000003,Functionally Obsolete
128,OR000456,HWB10,41057960400,WILSON R DEVILS LAKE FK,State Highway Agency,204,11.0000000,3,46,21,25,,,1940,,,,8,5600,,666,1295.982199999999921,45.606560999999999,-123.452117000000001,Functionally Obsolete
129,OR000458,HWB10,41067033600,GALES CR 1 ST XING,State Highway Agency,204,11.0000000,3,48,18,15,,,1956,,,,5,5200,,666,1352.329300000000103,45.653799999999997,-123.300567000000001,Functionally Obsolete
130,OR000462,HWB10,41057960100,NEAHKAHNIE MT. CHASM,State Highway Agency,203,11.0000000,5,32,18,0,,,1937,,,,5,4300,,656,901.552800000000047,45.762374999999999,-123.957527999999996,
131,OR000464,HWB10,41051002100,FRONT AVENUE,State Highway Agency,204,9.0000000,4,71,18,99,,,1985,1985,,,N,4000,,666,1636.625700000000052,45.528097000000002,-122.667868999999996,Functionally Obsolete
132,OR000465,HWB10,41051005100,FRONT AVE TO STEEL BR,State Highway Agency,204,10.0000000,11,171,28,0,,,1950,,,,N,13700,,665,4379.702699999999822,45.526910999999998,-122.670439000000002,Functionally Obsolete
133,OR000466,HWB10,41023960200,ROCK CR. (PICTURE GORGE),State Highway Agency,202,9.0000000,3,24,9,0,,,1961,1961,,,3,800,,766,553.225599999999986,44.528213999999998,-119.633853000000002,
134,OR000476,HWB10,41057960700,BEAVER CREEK,State Highway Agency,204,12.0000000,3,36,12,30,,,1940,1940,,,5,4500,,666,1106.451199999999972,45.286321999999998,-123.822577999999993,Functionally Obsolete
135,OR000478,HWB10,41017001001,OCHOCO N MAIN CANAL,State Highway Agency,202,10.0000000,2,15,7,13,,,1945,,,,5,8600,,666,384.184399999999982,44.262011000000001,-121.119271999999995,Functionally Obsolete
136,OR000483,HWB10,41005023500,DEEP CREEK,State Highway Agency,204,9.0000000,3,49,19,0,,,1948,,,,3,7600,,657,1129.502300000000105,45.372753000000003,-122.323099999999997,Functionally Obsolete
137,OR000487,HWB10,41071030501,DEER CREEK,State Highway Agency,204,11.0000000,3,46,18,0,,,1941,,,,3,14300,,666,1295.982199999999921,45.107278000000001,-123.330405999999996,Functionally Obsolete
